z_nm,rho_mg_per_mL,sd_mg_per_mL
2.506654705160477614e-01,1.370491476409788163e+02,7.392117588742075895e+01
7.519964115481432287e-01,1.379975371583799983e+02,7.356499425221909405e+01
1.253327352580238863e+00,1.390929800723266681e+02,7.342063156028298465e+01
1.754658293612334274e+00,1.403485695200552357e+02,7.290423550486782744e+01
2.255989234644429686e+00,1.424375474172643976e+02,7.398509747051109287e+01
2.757320175676525320e+00,1.444872923469821160e+02,7.387138598564256142e+01
3.258651116708620954e+00,1.463817441320964861e+02,7.559018674934075932e+01
3.759982057740716144e+00,1.476397752282935585e+02,7.542769376243539625e+01
4.261312998772812222e+00,1.496674223964074315e+02,7.517333196430470821e+01
4.762643939804907411e+00,1.502499395564418592e+02,7.517052590585217331e+01
5.263974880837002601e+00,1.518521111177876719e+02,7.453702444915145975e+01
5.765305821869098679e+00,1.536522413359489008e+02,7.467630497964879055e+01
6.266636762901193869e+00,1.562882172195933208e+02,7.582178426715577757e+01
6.767967703933289059e+00,1.581128427936390040e+02,7.487627912687321441e+01
7.269298644965385137e+00,1.602523578208877950e+02,7.538590334169364837e+01
7.770629585997481215e+00,1.632301108110615644e+02,7.491749927964312405e+01
8.271960527029577293e+00,1.669607833358744529e+02,7.526902138137178611e+01
8.773291468061671594e+00,1.697224642278259807e+02,7.496472316061256436e+01
9.274622409093765896e+00,1.726541586935626924e+02,7.423632550191851465e+01
9.775953350125863750e+00,1.760990188858049805e+02,7.339851823474518255e+01
1.027728429115795805e+01,1.796286791267745855e+02,7.315947684082659919e+01
1.077861523219005235e+01,1.831715641507828707e+02,7.325644192459404280e+01
1.127994617322215021e+01,1.871936329088007938e+02,7.222770481728245784e+01
1.178127711425424451e+01,1.913450651751987834e+02,7.228940901612533310e+01
1.228260805528633881e+01,1.946229826031076584e+02,7.204976514083188022e+01
1.278393899631843666e+01,1.983082152353892411e+02,7.233770567995071588e+01
1.328526993735053097e+01,2.015388191758620735e+02,7.286586169480590058e+01
1.378660087838262704e+01,2.046798148953352552e+02,7.271404110459620540e+01
1.428793181941472312e+01,2.071043448226744488e+02,7.268681700322956374e+01
1.478926276044681742e+01,2.101970199449664563e+02,7.385199506126701863e+01
1.529059370147891350e+01,2.115595659204118988e+02,7.393157276670532951e+01
1.579192464251100958e+01,2.142605897506111319e+02,7.483720694745753121e+01
1.629325558354310388e+01,2.149087441627099224e+02,7.437775743741300971e+01
1.679458652457520174e+01,2.170175582009464392e+02,7.504007592391488402e+01
1.729591746560729604e+01,2.180124947145890530e+02,7.425498470580927801e+01
1.779724840663939034e+01,2.202596198476699669e+02,7.350071403186093733e+01
1.829857934767148464e+01,2.226895170866530975e+02,7.349958519968583914e+01
1.879991028870358249e+01,2.255914378329813132e+02,7.407833355846419465e+01
1.930124122973567680e+01,2.275634102613079790e+02,7.420422158064353368e+01
1.980257217076777465e+01,2.298367735391203723e+02,7.491186461896403159e+01
