z_nm,rho_mg_per_mL,sd_mg_per_mL
2.030390311179986895e+01,2.319700602601908201e+02,7.570214885862679921e+01
2.080523405283196325e+01,2.348130505847176153e+02,7.712202642139251907e+01
2.130656499386405756e+01,2.383680367515853504e+02,7.862951682805558562e+01
2.180789593489615541e+01,2.407043472629750624e+02,7.879506037063282520e+01
2.230922687592824971e+01,2.434610063650602001e+02,7.951124976954034196e+01
2.281055781696034757e+01,2.442178674576202297e+02,8.020373321547693024e+01
2.331188875799244187e+01,2.445415791172598858e+02,8.033255840033467621e+01
2.381321969902453617e+01,2.433197725138408600e+02,7.948160831561854422e+01
2.431455064005663047e+01,2.437739153822644482e+02,7.945936947515762938e+01
2.481588158108872832e+01,2.434249745609090212e+02,7.920650208937942693e+01
2.531721252212082618e+01,2.411973326185870974e+02,7.788745900378926024e+01
2.581854346315292048e+01,2.419324766759125964e+02,7.807014759275686799e+01
2.631987440418501478e+01,2.416986296171417905e+02,7.801012748620777870e+01
2.682120534521710908e+01,2.420821697709839668e+02,7.847834450639967940e+01
2.732253628624920694e+01,2.400805775545262293e+02,7.793938088592372537e+01
2.782386722728130124e+01,2.400182291866054811e+02,7.800189963666375093e+01
2.832519816831339909e+01,2.394950672289298836e+02,7.720908442076168399e+01
2.882652910934549340e+01,2.392531330614646095e+02,7.691889757710896447e+01
2.932786005037758770e+01,2.402479042104128837e+02,7.815040109067875562e+01
2.982919099140968200e+01,2.394575289911725520e+02,7.741977351448285560e+01
3.033052193244177985e+01,2.375264895569084160e+02,7.607261355702264893e+01
3.083185287347387415e+01,2.377367590984453045e+02,7.587510169663191562e+01
3.133318381450597201e+01,2.357265052601706259e+02,7.509038573410649064e+01
3.183451475553806631e+01,2.324287843765982871e+02,7.625956464205000884e+01
3.233584569657016061e+01,2.298021532130691185e+02,7.606949036580738266e+01
3.283717663760225491e+01,2.266838304142755476e+02,7.540827151784102966e+01
3.333850757863434922e+01,2.235978087016968630e+02,7.552125045673139425e+01
3.383983851966645062e+01,2.199418764969829851e+02,7.483478515629688843e+01
3.434116946069854492e+01,2.185204420868656996e+02,7.473753767104626888e+01
3.484250040173063923e+01,2.170428563507436763e+02,7.490507759101957674e+01
3.534383134276273353e+01,2.140499887691354957e+02,7.495939622925048695e+01
3.584516228379482783e+01,2.108304864194605557e+02,7.435057247088350607e+01
3.634649322482692924e+01,2.075617308415673108e+02,7.482045508388105759e+01
3.684782416585902354e+01,2.055399602566793078e+02,7.597585385838146976e+01
3.734915510689111784e+01,2.018592626865421096e+02,7.601499464246495563e+01
3.785048604792321214e+01,1.994424643338048782e+02,7.628580015958313254e+01
3.835181698895530644e+01,1.956910039166347701e+02,7.514338408790062829e+01
3.885314792998740074e+01,1.925712559454792654e+02,7.470195788351972510e+01
3.935447887101949505e+01,1.897030318729509020e+02,7.512841062901146927e+01
3.985580981205159645e+01,1.861452872808723669e+02,7.468260208564041136e+01
4.035714075308369075e+01,1.820926434306350643e+02,7.469714496874118481e+01
4.085847169411578506e+01,1.776641884173329231e+02,7.410482215714965548e+01
4.135980263514787936e+01,1.730974511834132841e+02,7.485563617602147701e+01
4.186113357617997366e+01,1.688474353334501643e+02,7.518289901347782234e+01
4.236246451721207507e+01,1.645980515512741249e+02,7.482644087997589111e+01
4.286379545824416937e+01,1.591085182161621390e+02,7.463895034003873263e+01
4.336512639927626367e+01,1.549538678623810881e+02,7.538314461828004198e+01
4.386645734030835797e+01,1.512043490592646435e+02,7.550236908758002130e+01
4.436778828134045227e+01,1.480491213178165140e+02,7.533199420813600966e+01
4.486911922237254657e+01,1.445372364895642647e+02,7.549256235679560234e+01
4.537045016340464088e+01,1.422020126696789362e+02,7.551531792257497955e+01
4.587178110443674228e+01,1.396185783170357695e+02,7.557972591654632311e+01
4.637311204546883658e+01,1.387190672442763173e+02,7.497150018193509879e+01
4.687444298650093089e+01,1.375482232620062177e+02,7.466713678301847779e+01
4.737577392753302519e+01,1.377673817372175051e+02,7.621394615325149857e+01
4.787710486856511949e+01,1.367019793870362037e+02,7.572763976085032311e+01
4.837843580959722090e+01,1.358233113712624345e+02,7.544899605806337206e+01
4.887976675062931520e+01,1.354696574623355616e+02,7.481687976469871160e+01
4.938109769166140950e+01,1.351889875195864192e+02,7.432161334299016175e+01
4.988242863269350380e+01,1.367849164345342388e+02,7.572417614654250428e+01
5.038375957372559810e+01,1.373951389633879501e+02,7.587287806011249813e+01
