z_nm,rho_mg_per_mL,sd_mg_per_mL
1.779724840663939034e+01,4.253558443596057828e+02,6.125462946233914607e+01
1.829857934767148464e+01,4.793966276188337474e+02,6.130848378361016415e+01
1.879991028870358249e+01,5.187832492710593897e+02,5.903897838071311810e+01
1.930124122973567680e+01,5.435185735490549632e+02,5.842348035960856834e+01
1.980257217076777465e+01,5.585896402853818472e+02,5.783692576019964093e+01
2.030390311179986895e+01,5.677474401581242773e+02,5.900023530623076340e+01
2.080523405283196325e+01,5.713317872140258942e+02,5.788902927689755984e+01
2.130656499386405756e+01,5.720958919261468054e+02,5.812085919886591512e+01
2.180789593489615541e+01,5.714806009048203350e+02,5.745174527461455227e+01
2.230922687592824971e+01,5.716691210487334729e+02,5.828692818520951135e+01
2.281055781696034757e+01,5.719961026014177605e+02,5.801418061861297559e+01
2.331188875799244187e+01,5.686125953591497364e+02,5.857462561610557117e+01
2.381321969902453617e+01,5.681653154485142068e+02,5.904856660809599589e+01
2.431455064005663047e+01,5.674163467089661026e+02,5.839758610975403741e+01
2.481588158108872832e+01,5.682973561208629008e+02,5.779815254499875721e+01
2.531721252212082618e+01,5.662581671430480128e+02,5.781805513552164655e+01
2.581854346315292048e+01,5.662966812908821339e+02,5.894187595728110551e+01
2.631987440418501478e+01,5.667779096689062044e+02,5.824761425702056528e+01
2.682120534521710908e+01,5.688658516467384061e+02,5.785821509013926800e+01
2.732253628624920694e+01,5.714432280317535060e+02,5.794318187227725048e+01
2.782386722728130124e+01,5.718404421663262838e+02,5.803186628654735557e+01
2.832519816831339909e+01,5.747132809473532689e+02,5.805406446666491860e+01
2.882652910934549340e+01,5.749634717869187170e+02,5.760972981794602532e+01
2.932786005037758770e+01,5.765485297818984236e+02,5.814554998226178384e+01
2.982919099140968200e+01,5.730768511827963039e+02,5.734527830572881868e+01
3.033052193244177985e+01,5.690717034317098069e+02,5.856240702436166146e+01
3.083185287347387415e+01,5.595713365776405226e+02,5.887498554524645300e+01
3.133318381450597201e+01,5.426624329201104047e+02,6.087641973888553792e+01
3.183451475553806631e+01,5.170102575308740143e+02,6.048875971170526356e+01
3.233584569657016061e+01,4.780205982842275603e+02,6.168184702791902652e+01
3.283717663760225491e+01,4.227581742384422796e+02,6.200303384983762811e+01
3.333850757863434922e+01,3.539203947778282213e+02,6.182512428723135400e+01
3.383983851966645062e+01,2.787754824373554925e+02,6.073901717776774234e+01
3.434116946069854492e+01,2.047060500686696116e+02,5.945300935110133622e+01
3.484250040173063923e+01,1.391204842904977852e+02,5.468048614743837987e+01
3.534383134276273353e+01,8.965960168242160933e+01,4.762573872522057883e+01
3.584516228379482783e+01,5.521771673176912287e+01,3.869562123520879027e+01
3.634649322482692924e+01,3.252129449800587224e+01,2.979323543270442087e+01
3.684782416585902354e+01,1.871612169070425225e+01,2.193794351798938180e+01
3.734915510689111784e+01,1.089884457510678573e+01,1.646035882450263799e+01
3.785048604792321214e+01,6.275240554497325540e+00,1.241180865144742995e+01
3.835181698895530644e+01,3.740426070374896383e+00,9.637161285860820215e+00
3.885314792998740074e+01,2.264032445749758704e+00,7.771591717365965657e+00
3.935447887101949505e+01,1.301395920198047396e+00,6.041283197809143246e+00
3.985580981205159645e+01,8.589085497029338434e-01,4.923233093596595999e+00
4.035714075308369075e+01,5.743321890307260258e-01,4.178522157846895624e+00
4.085847169411578506e+01,4.399393976968081765e-01,3.712782538793750309e+00
4.135980263514787936e+01,4.148832229559551443e-01,4.359997086703294222e+00
4.186113357617997366e+01,3.783286467463460867e-01,4.009144254244321637e+00
4.236246451721207507e+01,3.937768097748733931e-01,4.137195755689466736e+00
4.286379545824416937e+01,4.767079790751527213e-01,5.070716736866326180e+00
4.336512639927626367e+01,4.865247637139360481e-01,5.175109511488991565e+00
4.386645734030835797e+01,4.758044806462037868e-01,4.989809876808453559e+00
4.436778828134045227e+01,4.579773268662818975e-01,4.815906095093095196e+00
4.486911922237254657e+01,4.222760583171014104e-01,4.269005957806365714e+00
4.537045016340464088e+01,3.779534755963256942e-01,4.007493868693979167e+00
4.587178110443674228e+01,3.933498975623241911e-01,3.876538932006200255e+00
4.637311204546883658e+01,4.137408500585531557e-01,3.941065694959435817e+00
4.687444298650093089e+01,5.084678188948571487e-01,4.660897583397353827e+00
4.737577392753302519e+01,5.448299648606794721e-01,4.812570367481321831e+00
4.787710486856511949e+01,5.451566247273555987e-01,4.658245934446006764e+00
4.837843580959722090e+01,7.475276120775258271e-01,5.933878774826590430e+00
4.887976675062931520e+01,8.110851447289718630e-01,5.624673195380180069e+00
4.938109769166140950e+01,9.493022529991516079e-01,6.133105254524673811e+00
4.988242863269350380e+01,1.205161419629791730e+00,7.224775019847826663e+00
5.038375957372559810e+01,1.485902934285597166e+00,8.375885194456227367e+00
