z_nm,rho_mg_per_mL,sd_mg_per_mL
2.506654705160477614e-01,1.732970318999307313e+00,9.484454625533002670e+00
7.519964115481432287e-01,1.876324003488230696e+00,9.757820161551006066e+00
1.253327352580238863e+00,1.976264417287862285e+00,9.685572502587287858e+00
1.754658293612334274e+00,2.002508440217029673e+00,9.811189301403146601e+00
2.255989234644429686e+00,2.059459717929816414e+00,1.032964809147682672e+01
2.757320175676525320e+00,1.996450149614735770e+00,9.940464027914607925e+00
3.258651116708620954e+00,1.837066102101565512e+00,9.144473857053705856e+00
3.759982057740716144e+00,1.745316989672964780e+00,8.991555971353898613e+00
4.261312998772812222e+00,1.658625711446602091e+00,8.744929361107583787e+00
4.762643939804907411e+00,1.561530410130210988e+00,8.918664764044638815e+00
5.263974880837002601e+00,1.446435097251966173e+00,8.493441546433862399e+00
5.765305821869098679e+00,1.452410447124812265e+00,8.531312711384810399e+00
6.266636762901193869e+00,1.503136260864737839e+00,8.760108830394297996e+00
6.767967703933289059e+00,1.382249953909473250e+00,8.379015188262071590e+00
7.269298644965385137e+00,1.215200283885270238e+00,7.600281363441695248e+00
7.770629585997481215e+00,1.125022071456213579e+00,7.368770266115123313e+00
8.271960527029577293e+00,1.042221385234969988e+00,6.962083141045058099e+00
8.773291468061671594e+00,1.024768756649231838e+00,6.986948652421347994e+00
9.274622409093765896e+00,9.587580775163242475e-01,6.527024028905689335e+00
9.775953350125863750e+00,9.357762607542255973e-01,6.206082140108948764e+00
1.027728429115795805e+01,9.408064480466488133e-01,5.947295600762365630e+00
1.077861523219005235e+01,1.020448281034714633e+00,5.454694669752517378e+00
1.127994617322215021e+01,1.367244012246827234e+00,5.975215433083538308e+00
1.178127711425424451e+01,2.043612870958808170e+00,7.159732803775243681e+00
1.228260805528633881e+01,3.298863450255768104e+00,8.762487378508172498e+00
1.278393899631843666e+01,5.549476163495753234e+00,1.143439078926205532e+01
1.328526993735053097e+01,9.911236430433255862e+00,1.534574164582935474e+01
1.378660087838262704e+01,1.753360670756603312e+01,2.066021140162122194e+01
1.428793181941472312e+01,3.071802532205089165e+01,2.728006498628250753e+01
1.478926276044681742e+01,5.232106317392863559e+01,3.543878794619719486e+01
1.529059370147891350e+01,8.696611731955930225e+01,4.473873950846419234e+01
1.579192464251100958e+01,1.380877490251085078e+02,5.370378993530238887e+01
1.629325558354310388e+01,2.043203473192819786e+02,5.903517408680038869e+01
1.679458652457520174e+01,2.803979317151401460e+02,6.149107978094344418e+01
1.729591746560729604e+01,3.576744098857381005e+02,6.233110947884070185e+01
